Data Source in SDW: http://sdw.ecb.europa.eu/quickview.do;jsessionid=397A29BB2F1436B9AB6FAEE7A6C2F6BB?SERIES_KEY=120.EXR.D.E5.EUR.EN00.A&start=03-10-2014&end=10-10-2019&submitOptions.x=0&submitOptions.y=0&trans=N
,EXR.D.E5.EUR.EN00.A
,"ECB Nominal effective exch. rate of the Euro against, EER-19 group of trading partners: AU,CA,DK,HK,JP,NO,SG,KR,SE,CH,GB,US and BG,CZ,HU,PL,RO,CN and HR excluding the Euro"
Collection:,Average of observations through period (A)
Period\Unit:,[99Q1=100]
2016-06-14,94.5212
2016-06-13,94.6129
2016-06-10,94.4655
2016-06-09,94.5405
2016-06-08,94.6289
2016-06-07,94.6029
2016-06-06,94.8719
2016-06-03,94.0334
2016-06-02,94.2399
2016-06-01,94.1798
2016-05-31,93.9464
2016-05-30,93.9153
2016-05-27,93.8885
2016-05-26,93.8824
2016-05-25,93.8137
2016-05-24,94.0886
2016-05-23,94.4590
2016-05-20,94.4052
2016-05-19,94.1822
2016-05-18,94.5679
2016-05-17,94.7117
2016-05-16,94.8103
2016-05-13,94.8979
2016-05-12,95.1361
2016-05-11,95.2020
2016-05-10,95.0707
2016-05-09,95.1192
2016-05-06,95.1399
2016-05-05,95.1306
2016-05-04,95.3818
2016-05-03,95.4115
2016-05-02,94.8624
2016-04-29,94.5144
2016-04-28,94.2676
2016-04-27,94.2113
2016-04-26,94.1348
2016-04-25,94.0233
2016-04-22,94.0500
2016-04-21,94.2982
2016-04-20,94.3299
2016-04-19,94.1957
2016-04-18,94.2655
2016-04-15,94.1346
2016-04-14,94.0256
2016-04-13,94.1440
2016-04-12,94.5773
2016-04-11,94.6656
2016-04-08,94.7430
2016-04-07,94.7268
2016-04-06,94.7525
2016-04-05,94.7287
2016-04-04,94.6959
2016-04-01,94.9678
2016-03-31,94.5903
2016-03-30,94.3324
2016-03-29,94.0059
2016-03-28,-
2016-03-25,-
2016-03-24,93.9021
2016-03-23,93.8837
2016-03-22,93.9193
2016-03-21,94.0664
2016-03-18,94.0039
2016-03-17,94.3238
2016-03-16,93.6952
2016-03-15,93.7294
2016-03-14,93.5705
2016-03-11,93.5557
2016-03-10,92.3659
2016-03-09,93.0206
2016-03-08,93.3677
2016-03-07,93.0357
2016-03-04,93.0983
2016-03-03,92.8867
2016-03-02,92.7868
2016-03-01,92.9486
2016-02-29,93.2249
2016-02-26,93.7602
2016-02-25,93.8633
2016-02-24,93.6789
2016-02-23,93.5005
2016-02-22,93.7329
2016-02-19,94.0592
2016-02-18,93.9231
2016-02-17,94.4094
2016-02-16,94.4161
2016-02-15,94.3202
2016-02-12,95.0765
2016-02-11,95.6569
2016-02-10,95.0106
2016-02-09,95.1735
2016-02-08,94.4403
2016-02-05,94.7611
2016-02-04,94.7967
2016-02-03,93.4759
2016-02-02,93.5767
2016-02-01,93.3666
2016-01-29,93.7187
2016-01-28,93.4903
2016-01-27,93.3718
2016-01-26,93.1785
2016-01-25,92.9644
2016-01-22,92.8071
2016-01-21,93.6749
2016-01-20,93.6852
2016-01-19,93.3192
2016-01-18,93.4798
2016-01-15,93.5276
2016-01-14,93.2864
2016-01-13,92.6332
2016-01-12,92.7601
2016-01-11,92.9138
2016-01-08,92.8010
2016-01-07,92.8455
2016-01-06,91.8775
2016-01-05,91.6695
2016-01-04,92.5080
2016-01-01,-
2015-12-31,92.1469
2015-12-30,92.3422
2015-12-29,92.4776
2015-12-28,92.4467
2015-12-25,-
2015-12-24,92.3085
2015-12-23,92.2071
2015-12-22,92.4164
2015-12-21,92.0093
2015-12-18,91.8592
2015-12-17,92.0001
2015-12-16,92.3682
2015-12-15,92.5552
2015-12-14,92.5952
2015-12-11,92.3726
2015-12-10,92.1697
2015-12-09,92.2325
2015-12-08,91.9274
2015-12-07,91.3051
2015-12-04,91.7470
2015-12-03,90.4345
2015-12-02,90.0643
2015-12-01,89.9589
2015-11-30,89.8977
2015-11-27,89.8306
2015-11-26,89.9442
2015-11-25,89.7409
2015-11-24,90.1660
2015-11-23,90.0210
2015-11-20,90.2082
2015-11-19,90.2837
