,Date,Open,High,Low,Close,Adj Close,Volume
712,2019-01-11,0.85,0.85,0.71,0.8,0.8,44400
713,2019-01-14,0.8,0.81,0.71,0.8,0.8,58600
714,2019-01-15,0.81,0.95,0.77,0.92,0.92,176200
715,2019-01-16,0.86,0.92,0.86,0.9,0.9,89000
716,2019-01-17,0.87,0.9,0.82,0.88,0.88,46000
717,2019-01-18,0.86,0.91,0.83,0.87,0.87,71600
718,2019-01-22,0.85,0.89,0.81,0.85,0.85,33900
719,2019-01-23,0.83,0.89,0.81,0.86,0.86,10500
720,2019-01-24,0.86,0.88,0.86,0.88,0.88,22500
721,2019-01-25,0.86,0.88,0.84,0.84,0.84,23800
722,2019-01-28,0.87,0.88,0.8,0.88,0.88,51000
723,2019-01-29,0.85,0.92,0.85,0.88,0.88,134800
724,2019-01-30,0.86,0.88,0.83,0.86,0.86,61700
725,2019-01-31,0.9,0.9,0.83,0.87,0.87,52000
726,2019-02-01,0.87,0.87,0.82,0.86,0.86,61800
727,2019-02-04,0.89,0.9,0.86,0.9,0.9,73600
728,2019-02-05,0.88,0.9,0.85,0.87,0.87,99300
729,2019-02-06,0.91,0.96,0.85,0.92,0.92,110200
730,2019-02-07,0.95,1.0,0.9,0.94,0.94,77600
731,2019-02-08,0.95,0.95,0.9,0.92,0.92,49600
732,2019-02-11,0.9,0.95,0.88,0.91,0.91,32400
733,2019-02-12,0.91,0.93,0.85,0.9,0.9,52900
734,2019-02-13,0.92,0.92,0.85,0.88,0.88,108900
735,2019-02-14,0.86,0.9,0.85,0.85,0.85,129600
736,2019-02-15,0.85,0.9,0.85,0.86,0.86,26900
737,2019-02-19,0.85,0.88,0.85,0.87,0.87,84600
738,2019-02-20,0.88,0.94,0.88,0.93,0.93,152600
739,2019-02-21,0.91,0.94,0.91,0.94,0.94,40900
740,2019-02-22,0.92,0.99,0.91,0.98,0.98,170800
741,2019-02-25,1.0,1.1,0.91,1.0,1.0,462300
742,2019-02-26,1.0,1.03,0.92,0.98,0.98,119700
743,2019-02-27,0.97,0.99,0.81,0.89,0.89,174600
744,2019-02-28,0.88,0.9,0.83,0.88,0.88,181500
745,2019-03-01,0.9,0.91,0.87,0.91,0.91,66600
746,2019-03-04,0.89,0.91,0.78,0.85,0.85,99300
747,2019-03-05,0.86,0.87,0.78,0.8,0.8,88200
748,2019-03-06,0.84,0.86,0.81,0.82,0.82,67900
749,2019-03-07,0.83,0.85,0.76,0.78,0.78,190600
750,2019-03-08,0.8,0.8,0.74,0.78,0.78,62300
751,2019-03-11,0.77,0.8,0.72,0.8,0.8,87600
752,2019-03-12,0.83,0.83,0.73,0.75,0.75,16200
753,2019-03-13,0.75,0.83,0.74,0.81,0.81,55400
754,2019-03-14,0.8,0.85,0.8,0.85,0.85,74700
755,2019-03-15,0.82,0.9,0.8,0.84,0.84,121300
756,2019-03-18,0.85,0.91,0.83,0.9,0.9,158100
757,2019-03-19,0.9,0.9,0.85,0.9,0.9,69500
758,2019-03-20,0.86,0.9,0.86,0.88,0.88,10800
759,2019-03-21,0.86,0.92,0.86,0.91,0.91,53800
760,2019-03-22,0.88,0.92,0.83,0.9,0.9,86100
761,2019-03-25,0.87,0.92,0.87,0.9,0.9,68100
762,2019-03-26,0.9,0.92,0.88,0.9,0.9,52000
763,2019-03-27,0.88,0.91,0.88,0.9,0.9,65400
764,2019-03-28,0.9,0.9,0.88,0.89,0.89,50000
765,2019-03-29,0.9,0.9,0.86,0.87,0.87,38700
766,2019-04-01,0.88,0.9,0.83,0.85,0.85,77800
767,2019-04-02,0.86,0.86,0.84,0.84,0.84,52400
768,2019-04-03,0.84,0.85,0.81,0.85,0.85,44600
769,2019-04-04,0.85,0.86,0.81,0.82,0.82,74000
770,2019-04-05,0.84,0.84,0.8,0.8,0.8,32400
771,2019-04-08,0.8,0.84,0.8,0.8,0.8,55200
772,2019-04-09,0.84,0.84,0.73,0.81,0.81,57800
773,2019-04-10,0.82,0.83,0.77,0.82,0.82,22200
774,2019-04-11,0.78,0.88,0.78,0.85,0.85,29500
775,2019-04-12,0.82,0.85,0.78,0.81,0.81,30200
776,2019-04-15,0.81,0.85,0.81,0.82,0.82,10200
777,2019-04-16,0.82,0.85,0.75,0.78,0.78,29800
